nome	uf	lat	lon	pop2019	areakm2	litoral
Novo Lino	AL	-8.9630290371	-35.6290554586	12690	231.339506896832	1
Olho d'Água das Flores	AL	-9.53197354	-37.2589995431	21688	202.3458693953	0
Olho d'Água do Casado	AL	-9.4365130667	-37.8152017506	9373	338.418142593294	0
Olho d'Água Grande	AL	-10.0561850386	-36.7934353091	5123	124.21280595822	1
Olivença	AL	-9.4892229779	-37.177428292	11624	185.962137585566	0
Ouro Branco	AL	-9.1277976503	-37.3637644011	11496	207.731914818043	0
Palestina	AL	-9.6893623138	-37.3024798573	5011	40.3900380797355	0
Palmeira dos Índios	AL	-9.4182366559	-36.6057159641	73218	479.632750800437	1
Pão de Açúcar	AL	-9.6709595025	-37.4854061356	24399	732.254695139159	0
Pariconha	AL	-9.2404580338	-38.0477390961	10533	267.05070713445	0
Paripueira	AL	-9.4355510559	-35.5936363447	13176	99.6677058615726	1
Passo de Camaragibe	AL	-9.2557663345	-35.5000265048	15245	270.402637819454	1
Paulo Jacinto	AL	-9.3776257973	-36.4094142148	7564	126.209229662903	1
Penedo	AL	-10.2315893174	-36.4826393601	63683	734.301109104195	1
Piaçabuçu	AL	-10.3867506797	-36.4018189383	17827	255.635051862549	1
Pilar	AL	-9.61307977	-36.0031083097	35111	268.453835014254	1
Pindoba	AL	-9.4759825514	-36.2856444314	2908	124.881412624743	1
Piranhas	AL	-9.5245025615	-37.7259523208	25039	432.082322098217	0
Poço das Trincheiras	AL	-9.2987572427	-37.3202941569	14386	300.507226214074	0
Porto Calvo	AL	-9.0259928632	-35.4268389933	27165	336.815550074605	1
Porto de Pedras	AL	-9.1436531896	-35.4066574617	7786	276.815529903128	1
Porto Real do Colégio	AL	-10.1220762293	-36.7379827044	20066	251.368589231295	1
Quebrangulo	AL	-9.3032676105	-36.4612289551	11294	340.613492466061	1
Rio Largo	AL	-9.4815023846	-35.8642464106	75120	320.24838797519	1
Roteiro	AL	-9.8688270743	-35.9802040704	6664	138.207370232537	1
Santa Luzia do Norte	AL	-9.6120736325	-35.8298992702	7296	30.9048017101483	1
Santana do Ipanema	AL	-9.3583715816	-37.2108764153	47654	463.325116233313	0
Santana do Mundaú	AL	-9.1280567194	-36.191011678	10740	240.651555043647	1
São Brás	AL	-10.107839559	-36.8634991964	6961	148.473065638437	1
São José da Laje	AL	-8.9875198606	-36.0399372715	23927	274.388170002156	1
São José da Tapera	AL	-9.5326232367	-37.4905254643	32260	521.988459953717	0
São Luís do Quitunde	AL	-9.2497990529	-35.6341608847	34555	426.408939062345	1
São Miguel dos Campos	AL	-9.7671090421	-36.0973051145	61251	385.519139940169	1
São Miguel dos Milagres	AL	-9.230814848	-35.4069022427	7951	82.5305371885028	1
São Sebastião	AL	-9.9636721965	-36.550512947	34152	335.299554610681	1
Satuba	AL	-9.5804273553	-35.8442806408	13828	38.5223391989984	1
Senador Rui Palmeira	AL	-9.3910530852	-37.5112363036	13870	360.954833753397	0
Tanque d'Arca	AL	-9.5577948355	-36.4228765225	6162	132.902443635039	1
Taquarana	AL	-9.624859135	-36.4952237362	19980	163.183403588776	1
Teotônio Vilela	AL	-9.9647015744	-36.3715021632	44169	318.840538020404	1
Traipu	AL	-9.8972830976	-36.9692582713	27715	726.968773950771	1
União dos Palmares	AL	-9.1208696623	-36.0142428356	65611	449.901209769541	1
Viçosa	AL	-9.3581698337	-36.2638673802	25733	396.455966789608	1
Alvarães	AM	-3.6946847468	-65.3244466984	16041	6305.87113946982	0
Amaturá	AM	-3.418433428	-68.2864994697	11536	5211.98577795707	0
Anamã	AM	-3.5022462341	-61.7169277517	13614	2540.10968195147	0
Anori	AM	-4.1986802148	-62.0954094841	21010	6264.16742274402	0
Apuí	AM	-7.7600094365	-59.4320193917	21973	55384.8426596198	0
Atalaia do Norte	AM	-5.7117928121	-71.7427557296	19921	87204.8335756875	0
Autazes	AM	-3.7888867861	-59.5274956441	39565	7789.05123192944	0
Barcelos	AM	-0.4651832813	-63.4348123283	27502	128367.043363653	0
Barreirinha	AM	-3.1290431793	-57.172444233	32041	5813.45010117551	0
Benjamin Constant	AM	-5.4305610198	-70.2790862444	42984	9849.63431079918	0
Beruri	AM	-4.606408836	-61.8044291083	19679	18092.5619131545	0
Boa Vista do Ramos	AM	-3.1380364254	-57.6701019552	19207	2620.29630445012	0
Boca do Acre	AM	-8.77315466	-68.0476337417	34308	23946.5450767784	0
Borba	AM	-4.9576174351	-59.5346939286	41161	45202.112505861	0
Caapiranga	AM	-3.0819653098	-61.8777379356	13081	9799.80026307748	0
Canutama	AM	-7.3007574081	-64.0619038638	15629	35409.1256306866	0
Carauari	AM	-5.1185164887	-67.3374716381	28294	27970.7941337119	0
Careiro	AM	-3.7707716146	-60.1834258864	37869	6245.53928034962	0
Careiro da Várzea	AM	-3.2861393147	-59.59982286	30225	2689.40877277924	0
Coari	AM	-4.4363514175	-64.1253106464	85097	61087.6809842756	0
Codajás	AM	-3.288971966	-62.9733150242	28637	19531.9066191084	0
Eirunepé	AM	-7.0219980437	-70.2182481476	35273	16755.6795296553	0
Envira	AM	-7.5733041897	-70.0550858832	20033	8383.94660752695	0
Fonte Boa	AM	-2.4909855408	-66.3579242147	17609	13067.5889381107	0
Guajará	AM	-7.2297809212	-72.8445879647	16678	8782.57433079381	0
Humaitá	AM	-7.3615476653	-62.4861746689	55080	34455.0787460672	0
Ipixuna	AM	-7.1805115794	-71.4128668676	29689	13759.3083148049	0
Iranduba	AM	-3.0951075624	-60.4804036953	48296	2274.49585608621	0
Itacoatiara	AM	-3.1746386785	-58.7772868899	101337	9051.62094199804	0
Itamarati	AM	-6.6828222407	-68.1128412164	7851	27619.58214477	0
Itapiranga	AM	-2.4985602647	-58.6199385312	9148	4303.95794512151	0
Japurá	AM	-1.6970806819	-68.3211176851	2755	61263.5870697849	0
Juruá	AM	-3.5244642076	-66.3077991868	14712	20888.127543865	0
Jutaí	AM	-4.7152908418	-68.406304479	14317	76241.434277138	0
Lábrea	AM	-8.3756015093	-65.811662922	46069	72915.8252812957	0
Manacapuru	AM	-3.2914230947	-60.9584243898	97377	7550.93575555273	0
Manaquiri	AM	-3.7788949272	-60.6971407628	32105	4088.42047561431	0
Manaus	AM	-2.6259193827	-60.2596280142	2182763	11696.5028502762	0
Manicoré	AM	-6.4594375673	-61.4466116402	55751	49894.4207427624	0
Maraã	AM	-2.4268286431	-65.0395512289	18224	17876.2499107561	0
Maués	AM	-4.9847809435	-58.0609228436	63905	40573.9220084149	0
Nhamundá	AM	-1.6805096023	-57.6562777094	21173	14289.5564542783	0
Nova Olinda do Norte	AM	-3.9890921062	-58.6002945717	37378	5681.45986471322	0
Novo Airão	AM	-2.0474441092	-61.7031553768	19454	39131.4044136154	0
Novo Aripuanã	AM	-6.8240129018	-60.4771547996	25644	42286.8233315829	0
Parintins	AM	-2.6883952817	-56.8540869241	114273	6010.51620680692	0
Pauini	AM	-7.7578054356	-68.1971409404	19426	45537.1352015792	0
Presidente Figueiredo	AM	-1.3723531128	-59.988832103	36279	26042.0108206885	0
Rio Preto da Eva	AM	-2.5298503198	-59.6383587897	33347	5943.37116839476	0
Santa Isabel do Rio Negro	AM	-0.3183639947	-65.5213285855	25156	67003.5598976776	0
Santo Antônio do Içá	AM	-3.0529048493	-69.0893484087	21602	13681.2686306398	0
São Gabriel da Cachoeira	AM	0.3748981357	-67.9969326747	45564	119402.916451611	0
São Paulo de Olivença	AM	-4.5014364851	-69.4511185864	39299	21831.5198822029	0
São Sebastião do Uatumã	AM	-1.9460446982	-58.7025449679	14020	10930.4779398803	0
Silves	AM	-2.8221296219	-58.5362714046	9171	3811.75360268793	0
Tabatinga	AM	-4.0285168569	-69.6780865513	65844	3637.11166116359	0
Tapauá	AM	-6.0937019673	-64.9557964235	17156	90165.6716913586	0
Tefé	AM	-4.4701106676	-65.5315360445	59849	25268.7921223852	0
Tonantins	AM	-2.6918091661	-67.8260494657	18755	7034.33069161045	0
Uarini	AM	-3.1656558636	-65.4107896638	13540	10947.2757707977	0
Urucará	AM	-0.8942002729	-59.0297350925	16256	28445.0170294147	0
Urucurituba	AM	-2.8124634373	-57.7704340451	23065	2945.54344910844	0
Amapá	AP	1.7655953636	-50.5810534809	9109	9161.33258388226	1
Calçoene	AP	2.4313336074	-51.4037978913	11117	14221.6511848014	1
Cutias	AP	1.0355409408	-50.487112042	5983	2177.9525786875	1
Ferreira Gomes	AP	0.9571043298	-51.4173513618	7780	4970.77059311096	1
Itaubal	AP	0.5383879733	-50.640251078	5503	1621.63484199065	1
Laranjal do Jari	AP	1.1013635534	-53.3105459431	50410	30813.3272191604	0
Macapá	AP	0.55463626	-50.7015972801	503327	6497.43525582176	1
Mazagão	AP	-0.0668366237	-51.9511933358	21632	13288.2616034082	0
Oiapoque	AP	3.0892552377	-51.9046449748	27270	22614.2888802485	1
Pedra Branca do Amapari	AP	1.1574894504	-52.519325521	16502	9624.59832352534	0
Porto Grande	AP	0.5855224512	-51.6699417866	21971	4422.27271184358	0
Pracuúba	AP	1.625814909	-51.2785295154	5120	4944.23394944402	1
Santana	AP	0.1297280939	-51.3782599088	121364	1541.04132752319	0
Serra do Navio	AP	1.6517476485	-52.2681387977	5397	7710.76635103697	0
Tartarugalzinho	AP	1.297577102	-50.9926155556	17315	6679.68709404346	1
Vitória do Jari	AP	-0.9964423225	-52.0611784748	15931	2507.87179543825	0
Abaíra	BA	-13.2965689887	-41.7428938749	8739	551.859560288222	0
Abaré	BA	-8.8178617551	-39.3088829932	20086	1546.10232081855	0
Acajutiba	BA	-11.6691031441	-37.997830916	15159	189.258321572076	1
Adustina	BA	-10.562382485	-38.0370876821	17040	664.140787857617	0
Água Fria	BA	-11.8301892454	-38.7239516266	16970	691.461928626345	1
Aiquara	BA	-14.091818538	-39.8808617209	4446	173.864788963076	1
Alagoinhas	BA	-12.1130123055	-38.4033672448	151596	751.921937971577	1
Alcobaça	BA	-17.4688959963	-39.4093012939	22470	1536.28938830334	1
Almadina	BA	-14.7012729992	-39.6640928303	5464	254.289294465481	1
Amargosa	BA	-13.0408836836	-39.6262958497	37241	447.969878222908	1
Amélia Rodrigues	BA	-12.4204971817	-38.7181236934	25102	181.21611530729	1
América Dourada	BA	-11.4115090206	-41.5273031815	16094	859.583381832533	0
Anagé	BA	-14.5901259799	-40.9708457311	22005	1374.58785241977	0
Andaraí	BA	-12.7336292583	-41.2150918069	13143	1634.24659560304	0
Andorinha	BA	-10.291363979	-39.8916214854	14595	1293.39835747298	0
Angical	BA	-11.9966394324	-44.6477239082	13977	1547.06661610481	0
Anguera	BA	-12.1824779976	-39.1954677191	11221	184.319600179029	0
Antas	BA	-10.4065708931	-38.2940291114	19291	337.233098786945	0
Antônio Cardoso	BA	-12.3795265314	-39.1472081951	11683	306.637100063918	1
Antônio Gonçalves	BA	-10.5978410637	-40.3650493773	11798	324.449208918144	0
Aporá	BA	-11.7244613334	-38.1980899164	17731	589.293938814457	1
Apuarema	BA	-13.8200338158	-39.7515703263	7330	156.354459334337	1
Araças	BA	-12.1779509763	-38.2131741077	12177	510.790608234516	1
Aracatu	BA	-14.3712256893	-41.3745484133	13135	1528.99450656647	0
Araci	BA	-11.2138370857	-39.0756676337	54379	1621.95277744018	0
Aramari	BA	-12.0554305776	-38.5249935686	11397	380.744704694248	1
Arataca	BA	-15.2432752967	-39.4121795131	11019	452.724002091108	1
Aratuípe	BA	-13.0846298232	-39.0694292618	8825	181.269132924277	1
Aurelino Leal	BA	-14.362134141	-39.478263125	11531	462.465487186702	1
Baianópolis	BA	-12.6571247537	-44.4402303764	13877	3360.12177525354	0
Baixa Grande	BA	-11.9646787114	-40.1582426803	20468	979.262163898568	0
Banzaê	BA	-10.616471822	-38.6543437365	13229	428.213955083599	0
Barra	BA	-11.0308625691	-43.3661694611	53578	11612.4035193151	0
Barra da Estiva	BA	-13.6504852067	-41.0980924568	20598	1703.97940833222	0
Barra do Choça	BA	-14.913567158	-40.5807805638	31603	797.493427089528	0
Barra do Mendes	BA	-11.9702489318	-42.1160483287	13865	1598.95928936228	0
Barra do Rocha	BA	-14.102480396	-39.5879493848	5714	222.484831109362	1
Barreiras	BA	-12.0099564901	-45.520009083	155439	7599.23782605326	0
Barro Alto	BA	-11.8492285811	-41.8330310251	14931	440.90072605041	0
Barro Preto	BA	-14.775862285	-39.4447283249	5591	209.326060488057	1
Barrocas	BA	-11.5360295517	-39.0968316669	15978	209.413813535179	0
Belmonte	BA	-15.9356818585	-39.1784362101	23328	2008.90650201366	1
Belo Campo	BA	-14.9985137699	-41.2038400771	17211	793.713047406279	0
