nome	lat	lon	pop	X	UF
Barreirinha	-2.793611	-57.068889	11257	1.62	AM
Manicoré	-5.812222	-61.2975	14058	2.46	AM
Uarini	-2.916667	-65.133333	2796	1.36	AM
Pauini	-7.666667	-66.966667	7633	2.01	AM
Codajás	-3.833333	-62.083333	11185	2.07	AM
Coari	-4.109444	-63.138889	50491	2.78	AM
Maués	-3.4	-57.7	22476	2.09	AM
Tabatinga	-4.240833	-69.942222	28230	2.86	AM
Novo Aripuanã	-5.120278	-60.378889	11044	2.06	AM
Fonte Boa	-2.533333	-66.016667	16060	2.3	AM
Benjamin Constant	-4.374444	-70.029722	13998	1.3	AM
Envira	-7.3	-70.216667	9957	1.87	AM
Tapauá	-5.620278	-63.1875	13211	2.24	AM
Nhamundá	-2.233333	-56.716667	7772	1.39	AM
Autazes	-3.583333	-59.133333	9614	1.29	AM
Eirunepé	-6.666667	-69.866667	17175	2.5	AM
Borba	-4.388889	-59.593611	11918	1.97	AM
Mata de São João	-12.516667	-38.283333	26680	1.13	BA
Candeias	-12.666667	-38.55	75673	1.95	BA
Itupeva	-17.416667	-40.483333	25183	1.85	BA
Conceição da Feira	-12.5	-39	15838	1.16	BA
Salvador	-12.983333	-38.516667	2711903	4.26	BA
Ponto Novo	-10.866667	-40.133333	7141	1.35	BA
Pilão Arcado	-10.15	-42.433333	6715	1.7	BA
Amargosa	-13.033333	-39.6	22531	1.72	BA
Casa Nova	-9.416667	-41.133333	33319	2.07	BA
São Sebastião do Passé	-12.516667	-38.466667	31050	1.5	BA
Caculé	-14.5	-42.216667	12143	1.67	BA
Barra da Estiva	-13.633333	-41.316667	12618	1.77	BA
Ribeira do Pombal	-10.833333	-38.533333	28236	1.71	BA
Bom Jesus da Lapa	-13.25	-43.416667	40693	2.37	BA
Itapetinga	-15.25	-40.25	59723	2.25	BA
Caravelas	-17.75	-39.25	11322	1.3	BA
Ibirapitanga	-14.15	-39.366667	7302	1.15	BA
Canavieiras	-15.65	-38.95	26376	2.11	BA
Itacaré	-14.3	-39	12490	1.58	BA
Senhor do Bonfim	-10.45	-40.183333	48472	2.35	BA
Mascote	-15.55	-39.283333	18899	1.67	BA
Santana	-14.466667	-41.8	12629	1.52	BA
Prado	-17.35	-39.216667	15466	1.73	BA
Esplanada	-11.783333	-37.95	18859	1.46	BA
Taperoá	-13.516667	-39.1	8095	1.17	BA
Alagoinhas	-12.116667	-38.433333	122692	2.18	BA
Itabuna	-14.8	-39.266667	205666	2.86	BA
Tanhaçu	-14.016667	-41.283333	6620	1.51	BA
Barra	-11.083333	-43.166667	20895	1.87	BA
Conceição do Coité	-11.55	-39.266667	35172	1.74	BA
Vitória da Conquista	-14.85	-40.85	253144	3.18	BA
Itajuípe	-14.683333	-39.366667	15517	1.27	BA
Santa Cruz Cabrália	-16.283333	-39.033333	19549	1.37	BA
Mutuípe	-13.25	-39.516667	10016	1.39	BA
Jacobina	-11.183333	-40.516667	47639	2.25	BA
Lapão	-11.4	-41.833333	11253	1.09	BA
Capim Grosso	-11.366667	-40.016667	17322	1.85	BA
Itambé	-15.25	-40.616667	23559	1.76	BA
Campo Formoso	-10.516667	-40.333333	23921	1.42	BA
Inhambupe	-11.783333	-38.35	14735	1.58	BA
Gandu	-13.75	-39.5	21566	1.83	BA
