nome	lat	lon	pop	X	UF
Vargem Grande	-3.55	-43.933333	21420	1.96	MA
São Benedito do Rio Prêto	-3.333333	-43.583333	12081	1.44	MA
Amarante do Maranhão	-5.6	-46.75	11510	1.85	MA
São Mateus do Maranhão	-4.033333	-44.466667	28234	1.78	MA
Turiaçu	-1.683333	-45.35	10471	1.72	MA
Esperantinópolis	-4.883333	-44.883333	13167	1.66	MA
Araioses	-2.89	-41.903611	8667	1.12	MA
Fortuna	-5.683333	-44.066667	9755	1.45	MA
Chapadinha	-3.733333	-43.35	40805	2.27	MA
Barra do Corda	-5.5	-45.25	48902	2.48	MA
Anajatuba	-3.266667	-44.616667	5627	1.31	MA
Timbiras	-4.25	-43.95	17875	1.48	MA
Penalva	-3.3	-45.166667	17186	1.41	MA
Matinha	-3.1	-45.033333	6851	1.05	MA
Codó	-4.483333	-43.883333	83289	2.27	MA
Humberto de Campos	-2.616667	-43.45	5208	1.64	MA
Coelho Neto	-4.25	-43	36185	2.08	MA
Pinheiro	-2.516667	-45.083333	38894	2.21	MA
Santa Helena	-2.233333	-45.3	16045	1.67	MA
Carutapera	-1.216667	-46.016667	12819	1.1	MA
São Raimundo das Mangabeiras	-7.016667	-45.483333	10216	1.88	MA
Pastos Bons	-6.6	-44.083333	10469	1.13	MA
São João dos Patos	-6.5	-43.7	19539	2	MA
São Bento	-2.7	-44.833333	17245	1.62	MA
Poção de Pedras	-4.75	-44.933333	12337	1.23	MA
Urbano Santos	-3.2	-43.383333	12268	1.78	MA
Santa Rita	-3.833333	-43.883333	13226	1.53	MA
Paulo Ramos	-4.216667	-45.183333	8888	1.09	MA
Vitória do Mearim	-3.466667	-44.883333	15775	1.14	MA
Cândido Mendes	-1.45	-45.716667	8613	1.56	MA
Maracaçumé	-2.05	-45.933333	14164	1.9	MA
Paraibano	-6.5	-44.016667	12364	1.56	MA
Estreito	-5.783333	-43.25	17647	1.9	MA
Barreirinhas	-2.75	-42.833333	17437	2.15	MA
Rosário	-2.95	-44.233333	23271	1.83	MA
Vitorino Freire	-4.066667	-45.166667	13267	1.42	MA
Cantanhede	-3.65	-44.4	8344	1.56	MA
Caxias	-4.833333	-43.35	117393	2.31	MA
Santa Inês	-3.65	-45.366667	67426	2.33	MA
Icatu	-2.766667	-44.066667	3648	1.15	MA
Brejo	-3.683333	-42.783333	11636	1.52	MA
Viana	-3.216667	-45	26690	1.97	MA
Pio XII	-3.883333	-45.283333	14773	1.5	MA
Riachão	-7.366667	-46.616667	12428	1.83	MA
Passagem Franca	-6.166667	-43.783333	7376	1.48	MA
Carolina	-7.333333	-47.466667	16229	1.72	MA
Coroatá	-4.133333	-44.133333	34130	1.91	MA
Buriti	-3.916667	-42.95	7025	1.35	MA
Alcântara	-2.4	-44.4	5655	1.16	MA
Cururupu	-1.833333	-44.866667	22007	2.03	MA
Raposa	-6.516667	-44.183333	11883	1.29	MA
Lago da Pedra	-4.333333	-45.166667	25996	1.81	MA
São Domingos do Maranhão	-5.7	-44.366667	18275	1.7	MA
Colinas	-6.033333	-44.233333	25159	2.12	MA
Tuntum	-5.233333	-44.65	16402	1.31	MA
São José de Ribamar	-2.55	-44.05	27777	1.58	MA
Monção	-3.5	-45.25	11051	1.32	MA
Santa Quitéria do Maranhão	-3.516667	-42.533333	17180	1.81	MA
Pirapemas	-3.716667	-44.233333	6441	1.19	MA
Pôrto Franco	-6.333333	-47.4	14874	1.21	MA
Dom Pedro	-4.483333	-44.45	15570	1.45	MA
Morros	-9.446667	-46.300278	4829	1.86	MA
Tutóia	-2.75	-42.266667	12212	1.77	MA
Timon	-5.1	-42.816667	124429	0.87	MA
Bequimão	-2.433333	-44.783333	5695	1.33	MA
Arari	-3.466667	-44.783333	16777	1.64	MA
Imperatriz	-5.533333	-47.483333	218110	3.29	MA
Mirador	-6.366667	-44.366667	6955	1.32	MA
Grajaú	-5.816667	-46.133333	30218	2.22	MA
Montes Altos	-5.833333	-47.066667	3518	1.39	MA
Bacabal	-4.233333	-44.783333	72374	2.4	MA
São Luís	-2.516667	-44.266667	917252	3.45	MA
Bom Jardim	-7.016667	-46.483333	12343	1.63	MA
São João Batista	-2.966667	-44.85	3634	1.17	MA
Buriti Bravo	-5.833333	-43.833333	17693	1.78	MA
São Bernardo	-3.366667	-42.4	11171	1.09	MA
Parnarama	-5.683333	-43.1	12202	1.32	MA
Balsas	-7.516667	-46.033333	68058	2.73	MA
Santa Luzia	-7.633333	-47.2	22910	2.17	MA
Nortelândia	-14.416667	-56.8	9636	1.55	MT
Diamantino	-14.416667	-56.45	15700	2.09	MT
Pontes e Lacerda	-15.2	-59.366667	29383	2.51	MT
Arenápolis	-14.433333	-56.816667	9060	0.53	MT
Alta Floresta	-9.9	-55.9	40468	3.01	MT
Poconé	-16.259722	-56.626944	21485	2.06	MT
Barra do Garças	-15.883333	-52.25	52402	2.68	MT
Alto Paraguai	-14.5	-56.516667	6149	0.98	MT
Cuiabá	-15.583333	-56.083333	521961	3.57	MT
Aripuanã	-9.166667	-60.633333	27043	2.55	MT
Guiratinga	-16.35	-53.75	10938	1.97	MT
Chapada dos Guimarães	-15.433333	-55.75	13657	1.64	MT
Nova Olímpia	-14.816667	-57.333333	19283	1.64	MT
Santo Antônio do Leverger	-15.866667	-56.083333	6387	1.27	MT
Barra do Bugres	-15.083333	-57.183333	31313	2.29	MT
Rosário Oeste	-14.833333	-56.416667	10469	1.16	MT
Nobres	-14.733333	-56.333333	12010	1.58	MT
Várzea Grande	-15.65	-56.133333	249766	1.63	MT
Cáceres	-16.066667	-57.683333	73431	2.64	MT
Alto Araguaia	-17.316667	-53.2	8780	1.81	MT
Jaciara	-15.983333	-54.95	22739	1.95	MT
Rondonópolis	-16.466667	-54.633333	152921	2.82	MT
Barão de Melgaço	-16.216667	-55.966667	4353	1.41	MT
Nova Era	-19.75	-43.05	15595	1.2	MG
Mateus Leme	-19.983333	-44.416667	24890	1.45	MG
Conselheiro Pena	-19.166667	-41.5	12735	1.54	MG
Alvinópolis	-20.1	-43.05	12068	1.5	MG
Alpinópolis	-20.866667	-46.383333	13286	1.52	MG
Recreio	-21.533333	-42.466667	8882	1.23	MG
Além Paraíba	-21.866667	-42.683333	33907	1.8	MG
Várzea da Palma	-17.6	-44.733333	28706	1.74	MG
Taiobeiras	-15.816667	-42.233333	24351	1.75	MG
Carmo do Rio Claro	-20.966667	-46.116667	14446	1.73	MG
Carlos Chagas	-17.716667	-40.75	13206	1.67	MG
Aimorés	-19.5	-41.066667	19133	0.93	MG
Itaúna	-20.066667	-44.566667	77402	1.99	MG
Conselheiro Lafaiete	-20.666667	-43.8	111598	2.28	MG
Monte Santo de Minas	-21.2	-46.983333	16617	1.45	MG
Andrelândia	-21.733333	-44.3	10079	1.72	MG
Montes Claros	-16.716667	-43.866667	332384	3.25	MG
Itacarambi	-15.016667	-44.05	13084	1.82	MG
Presidente Olegário	-18.416667	-46.416667	13587	1.39	MG
Martinho Campos	-19.333333	-45.216667	9198	1.31	MG
Itapecerica	-20.466667	-45.116667	16684	1.6	MG
Águas Vermelhas	-15.75	-41.466667	16410	1.64	MG
Lagoa Formosa	-18.783333	-46.4	11822	1.37	MG
Capelinha	-17.7	-42.516667	20074	2.13	MG
Barão de Cocais	-19.933333	-43.466667	22387	1.5	MG
Bom Jesus do Galho	-19.833333	-42.316667	12476	1.35	MG
Andradas	-22.066667	-46.566667	26773	1.58	MG
São Joaquim de Bicas	-20.05	-44.283333	14630	0.6	MG
Raposos	-19.95	-43.8	13263	0.84	MG
Raul Soares	-20.083333	-42.366667	13210	1.64	MG
Sabinópolis	-18.666667	-43.1	9713	1.3	MG
Caraí	-17.2	-41.7	6750	1.26	MG
Tupaciguara	-18.583333	-48.7	24398	1.91	MG
Jequitinhonha	-16.433333	-41	15463	1.7	MG
Águas Formosas	-17.083333	-40.95	11512	1.8	MG
Centralina	-18.566667	-49.216667	9497	1.2	MG
Matozinhos	-19.583333	-44.116667	30844	1.2	MG
Cambuí	-22.616667	-46.066667	21247	1.8	MG
Viçosa	-20.75	-42.883333	68681	1.99	MG
Pitangui	-19.666667	-44.9	18859	1.49	MG
Nanuque	-17.833333	-40.35	37825	2.29	MG
Rio Piracicaba	-19.916667	-43.183333	10439	1.04	MG
Araguari	-18.633333	-48.183333	96567	1.98	MG
Matias Barbosa	-21.869722	-43.318611	12072	1.17	MG
Nova Lima	-19.983333	-43.85	88400	1.48	MG
Itajubá	-22.433333	-45.45	81871	2.13	MG
Machado	-21.683333	-45.933333	33003	1.67	MG
Ubá	-21.116667	-42.933333	97829	2.38	MG
Igarapé	-20.066667	-44.3	21427	1.23	MG
Alfenas	-21.433333	-45.95	71407	2.16	MG
Itambacuri	-18.016667	-41.7	14652	1.51	MG
Timóteo	-19.583333	-42.666667	91723	1.38	MG
Carmo do Cajuru	-20.183333	-44.766667	16333	1.27	MG
Itanhandu	-22.3	-44.95	11274	1.01	MG
Esmeraldas	-19.75	-44.316667	103252	1.86	MG
Campos Altos	-19.683333	-46.166667	12648	1.65	MG
Porteirinha	-15.733333	-43.033333	14144	1.55	MG
Medina	-16.25	-41.483333	14686	1.6	MG
Juiz de Fora	-21.751667	-43.352778	470201	2.84	MG
Araxá	-19.583333	-46.916667	82597	2.47	MG
Diamantina	-18.25	-43.6	37344	2.27	MG
Açucena	-19.066667	-42.533333	14506	1.36	MG
Salinas	-16.166667	-42.283333	25747	2.25	MG
Patrocínio	-18.95	-46.983333	71964	2.2	MG
Rio Casca	-20.216667	-42.65	11769	1.54	MG
Capinópolis	-18.683333	-49.583333	12486	1.55	MG
São João Nepomuceno	-21.55	-43.016667	23155	1.75	MG
Barbacena	-21.233333	-43.766667	122213	2.37	MG
Buritis	-15.616667	-46.433333	16243	2.06	MG
Arinos	-15.916667	-46.066667	10078	1.69	MG
Bocaiúva	-17.116667	-43.816667	32115	1.87	MG
Camanducaia	-22.766667	-46.15	17823	1.38	MG
Visconde do Rio Branco	-21.016667	-42.833333	29010	1.4	MG
Inhapim	-19.55	-42.116667	13594	1.45	MG
Conceição do Mato Dentro	-19.016667	-43.416667	10708	1.63	MG
Conceição do Rio Verde	-21.883333	-45.083333	12402	1.33	MG
Lagoa da Prata	-20.016667	-45.55	43119	1.98	MG
Ibirité	-20.033333	-44.066667	141376	1.67	MG
Ibiá	-19.483333	-46.533333	18428	1.74	MG
Nova Serrana	-19.866667	-44.983333	51103	1.83	MG
Prata	-19.3	-48.916667	19896	1.96	MG
Lagoa Santa	-19.633333	-43.883333	38487	1.02	MG
Congonhas	-20.5	-43.866667	48819	1.61	MG
Mantena	-18.783333	-40.983333	18715	1.25	MG
Astolfo Dutra	-21.316667	-42.866667	10999	1.35	MG
Coração de Jesus	-16.684444	-44.360278	12410	1.74	MG
Varginha	-21.55	-45.433333	116573	2.6	MG
Brasília de Minas	-16.211944	-44.430833	14730	1.8	MG
Uberaba	-19.75	-47.916667	260847	2.67	MG
Itamarandiba	-17.85	-42.85	18064	1.7	MG
Santa Luzia	-19.783333	-43.866667	243506	1.88	MG
Mato Verde	-15.383333	-42.866667	7783	1.34	MG
Corinto	-18.35	-44.45	22121	1.78	MG
Vazante	-18	-46.9	15459	1.85	MG
Perdões	-21.083333	-45.083333	17821	1.38	MG
Almenara	-16.183333	-40.7	29333	2.25	MG
Baependi	-21.95	-44.883333	12853	0.9	MG
Oliveira	-20.683333	-44.816667	34711	2.01	MG
Mirabela	-16.258056	-44.159167	8934	1.43	MG
Bueno Brandão	-22.45	-46.35	5777	1.24	MG
Arcos	-20.283333	-45.533333	33356	1.58	MG
Carangola	-20.733333	-42.033333	25322	1.89	MG
Areado	-21.35	-46.15	10689	1.37	MG
Ituiutaba	-18.966667	-49.466667	85346	2.53	MG
São João Evangelista	-18.533333	-42.75	10049	1.52	MG
Francisco Sá	-16.466667	-43.5	13997	1.73	MG
Manga	-14.766667	-43.933333	11733	1.49	MG
Joaíma	-16.65	-41.033333	9022	1.34	MG
Itabira	-19.616667	-43.216667	99498	2.27	MG
Santa Rita do Sapucaí	-22.25	-45.7	28766	1.61	MG
Santa Bárbara	-19.933333	-43.4	19991	1.03	MG
Bom Sucesso	-21.033333	-44.766667	13786	1.33	MG
Paraisópolis	-22.55	-45.783333	13563	1.51	MG
Dores do Indaiá	-19.45	-45.6	12859	1.59	MG
Ouro Branco	-20.533333	-43.7	26687	1.45	MG
Muriaé	-21.133333	-42.366667	91174	2.24	MG
Ipaba	-19.383333	-42.416667	15971	1.21	MG
Santa Vitória	-18.833333	-50.133333	11657	1.72	MG
Luz	-19.8	-45.666667	14396	1.49	MG
São Sebastião do Paraíso	-20.916667	-47	57239	2.02	MG
Governador Valadares	-18.85	-41.933333	250882	3.02	MG
Carmo do Paranaíba	-18.983333	-46.35	26537	1.86	MG
Jacutinga	-22.283333	-46.616667	18470	1.35	MG
São Francisco	-15.95	-44.866667	33033	2.1	MG
Resplendor	-19.333333	-41.25	15131	1.5	MG
Tocantins	-21.166667	-43.033333	12876	1.14	MG
Bicas	-21.716667	-43.066667	12684	1.32	MG
João Pinheiro	-17.75	-46.166667	28083	2.17	MG
Lambari	-21.966667	-45.35	14516	1.51	MG
São Gonçalo do Sapucaí	-21.9	-45.6	19487	1.72	MG
Monte Carmelo	-18.716667	-47.483333	44041	2.07	MG
Varzelândia	-15.7	-44.033333	6398	1.3	MG
Boa Esperança	-21.083333	-45.566667	33840	1.73	MG
Santana do Paraíso	-19.366667	-42.533333	25537	1.35	MG
Barroso	-21.183333	-43.966667	16975	1.45	MG
Malacacheta	-17.833333	-42.083333	8820	1.59	MG
Januária	-15.483333	-44.366667	34812	2.31	MG
Santos Dumont	-21.466667	-43.566667	41582	1.8	MG
Monte Sião	-22.433333	-46.566667	11090	1.05	MG
Sabará	-19.9	-43.8	158359	1.74	MG
Alterosa	-21.25	-46.133333	9277	1.03	MG
Bom Despacho	-19.716667	-45.25	40304	1.8	MG
Bambuí	-20.016667	-45.966667	18840	1.77	MG
Paracatu	-17.216667	-46.866667	70754	2.57	MG
Divinópolis	-20.15	-44.9	193835	2.5	MG
Pará de Minas	-19.85	-44.616667	75787	1.8	MG
Araçuaí	-16.866667	-42.066667	22005	2.04	MG
Borda da Mata	-22.266667	-46.166667	12814	1.45	MG
Paraguaçu	-21.55	-45.733333	15742	1.37	MG
Manhuaçu	-20.25	-42.033333	54608	2.05	MG
Buritizeiro	-17.35	-44.966667	25104	0.81	MG
Caxambu	-21.983333	-44.933333	22701	1.44	MG
Extrema	-22.85	-46.316667	13682	1.36	MG
Contagem	-19.916667	-44.1	627132	2.13	MG
Novo Cruzeiro	-17.483333	-41.883333	10385	1.74	MG
Peçanha	-18.55	-42.566667	6903	1.21	MG
Guaranésia	-21.3	-46.8	17437	1.16	MG
Belo Oriente	-19.233333	-42.466667	18471	1.33	MG
Pedra Azul	-16.016667	-41.266667	20899	1.94	MG
São Lourenço	-22.116667	-45.05	41144	1.97	MG
Cláudio	-20.433333	-44.766667	21825	1.59	MG
Paraopeba	-19.3	-44.416667	19151	1.53	MG
Rio Pardo de Minas	-15.616667	-42.55	9540	1.58	MG
Cruzília	-21.833333	-44.8	12816	1.24	MG
Campestre	-21.716667	-46.25	11802	1.55	MG
Betim	-19.966667	-44.216667	384038	1.9	MG
Vespasiano	-19.666667	-43.916667	94750	1.61	MG
Espinosa	-14.933333	-42.833333	17549	1.98	MG
Campina Verde	-19.516667	-49.466667	13137	1.81	MG
Santo Antônio do Amparo	-20.95	-44.916667	16730	1.46	MG
Mar de Espanha	-21.865833	-43.009722	9678	1.23	MG
Uberlândia	-18.916667	-48.3	563545	3.26	MG
Caratinga	-19.783333	-42.133333	60067	2.08	MG
Pouso Alegre	-22.216667	-45.933333	115203	2.41	MG
Formiga	-20.45	-45.416667	56405	2.16	MG
Abaeté	-19.15	-45.45	20371	1.71	MG
Espera Feliz	-20.65	-41.916667	13031	1.24	MG
Itaobim	-16.566667	-41.833333	15938	1.69	MG
Lavras	-21.233333	-45	81474	2.19	MG
Conceição das Alagoas	-19.916667	-48.383333	16152	1.73	MG
Pompeu	-19.166667	-45.1	25278	1.96	MG
Campos Gerais	-21.233333	-45.766667	22260	1.58	MG
Carandaí	-20.933333	-43.916667	16657	1.53	MG
Patos de Minas	-18.583333	-46.533333	126236	2.81	MG
São João do Paraíso	-15.316667	-42.016667	8859	1.72	MG
Poços de Caldas	-21.8	-46.566667	146590	2.64	MG
Santo Antônio do Monte	-20.083333	-45.283333	22592	1.63	MG
Ipanema	-19.783333	-41.733333	11705	1.53	MG
Botelhos	-21.65	-46.4	11073	1.26	MG
Manhumirim	-20.366667	-41.95	15544	1.28	MG
Guanhães	-18.783333	-42.95	23728	2.05	MG
Iturama	-19.733333	-50.183333	29805	1.97	MG
Rio Pomba	-21.283333	-43.183333	13707	1.56	MG
Três Corações	-21.7	-45.266667	63458	1.76	MG
Elói Mendes	-21.616667	-45.566667	19413	1.34	MG
João Monlevade	-19.833333	-43.133333	72763	1.81	MG
Sêrro	-18.616667	-43.383333	12616	1.69	MG
Matipó	-20.283333	-42.35	12997	1.38	MG
Miraí	-21.2	-42.616667	8500	1.31	MG
Três Pontas	-21.366667	-45.516667	43750	1.64	MG
Nepomuceno	-21.233333	-45.25	18911	1.55	MG
Juatuba	-19.95	-44.333333	24551	1.18	MG
Ipatinga	-19.5	-42.533333	228750	2.63	MG
Turmalina	-17.283333	-42.75	8798	1.66	MG
Monte Alegre de Minas	-18.866667	-48.866667	12451	1.58	MG
Itinga	-16.6	-41.783333	4917	0.72	MG
Itabirito	-20.2484	-43.8063	39453	1.72	MG
São João da Ponte	-15.933333	-44.016667	8373	1.53	MG
Leopoldina	-21.533333	-42.633333	46743	1.5	MG
Sacramento	-19.883333	-47.45	16983	1.7	MG
Monte Azul	-15.15	-42.883333	11222	1.39	MG
Ouro Prêto	-20.383333	-43.5	63679	2.02	MG
Cataguases	-21.4	-42.683333	62619	1.98	MG
Ponte Nova	-20.4	-42.9	48188	1.89	MG
Cambuquira	-21.85	-45.3	10116	1.05	MG
Caeté	-19.9	-43.666667	33232	1.41	MG
Coromandel	-18.466667	-47.216667	22648	1.75	MG
Minas Novas	-17.25	-42.6	7365	1.16	MG
Campanha	-21.833333	-45.4	12507	1.23	MG
Padre Paraíso	-17.1	-41.516667	10608	1.77	MG
Coronel Fabriciano	-19.516667	-42.633333	100918	1.52	MG
Pedro Leopoldo	-19.633333	-44.05	49262	1.5	MG
Passos	-20.716667	-46.616667	98753	2.41	MG
Teófilo Otoni	-17.85	-41.5	101172	2.54	MG
Guaxupé	-21.3	-46.7	47890	1.9	MG
Belo Horizonte	-19.916667	-43.933333	2373255	3.67	MG
Lima Duarte	-21.85	-43.8	13480	1.68	MG
Grão Mogol	-16.566667	-42.9	3278	1.55	MG
Mutum	-19.816667	-41.433333	12582	1.66	MG
Muzambinho	-21.366667	-46.533333	16254	1.38	MG
Rio Novo	-21.483333	-43.133333	6258	1.07	MG
Sarzedo	-20.033333	-44.15	20800	1.12	MG
Ribeirão das Neves	-19.783333	-44.1	406840	1.94	MG
Frutal	-20.033333	-48.916667	40931	2.11	MG
Santa Maria do Suaçuí	-18.2	-42.416667	9936	1.68	MG
São Domingos do Prata	-19.866667	-42.966667	9466	1.18	MG
Unaí	-16.383333	-46.883333	60203	2.31	MG
Papagaios	-19.533333	-44.75	11850	1.36	MG
São João del Rei	-21.15	-44.266667	78593	2.16	MG
Cássia	-20.6	-46.933333	14391	1.43	MG
Janaúba	-15.8	-43.316667	56573	2.41	MG
Tiradentes	-21.116667	-44.183333	4439	0.85	MG
Itaú de Minas	-20.716667	-46.75	14888	1.24	MG
Brumadinho	-20.133333	-44.216667	27564	1.46	MG
Sete Lagoas	-19.45	-44.233333	201337	2.21	MG
São Gotardo	-19.316667	-46.05	34145	2.2	MG
Mariana	-20.383333	-43.416667	45237	1.28	MG
Curvelo	-18.75	-44.416667	63955	2.27	MG
Pirapora	-17.35	-44.933333	51657	2.45	MG
Passa Quatro	-22.383333	-44.966667	12765	1.34	MG
Gurupá	-1.416667	-51.65	6461	1.74	PA
Salinópolis	-0.616667	-47.333333	40999	2.09	PA
Oeiras do Pará	-1.966667	-49.85	10163	1.67	PA
Alenquer	-1.933333	-54.766667	26291	1.92	PA
Afuá	-0.166667	-50.383333	7031	1.46	PA
Limoeiro do Ajuru	-1.916667	-49.383333	4109	1.37	PA
Óbidos	-1.908333	-55.518889	24971	1.78	PA
Curuçá	-0.716667	-47.833333	10843	1.52	PA
Igarapé-Miri	-1.983333	-48.966667	26838	1.69	PA
Vigia	-0.8	-48.133333	29229	1.91	PA
Paragominas	-2.966667	-47.483333	69616	2.66	PA
Barcarena	-1.5	-48.666667	29872	1.53	PA
Marapanim	-0.7	-47.7	10236	1.17	PA
Augusto Correa	-1.033333	-46.666667	16280	1.15	PA
Santarém	-2.433333	-54.7	189053	3.28	PA
Capanema	-1.2	-47.183333	47768	1.99	PA
São Miguel do Guamá	-1.616667	-47.45	28266	1.82	PA
São João de Pirabas	-0.766667	-47.166667	10065	1.37	PA
Maracanã	-0.766667	-47.45	12683	1.35	PA
Itupiranga	-5.15	-49.333333	21301	1.65	PA
Conceição do Araguaia	-8.241111	-49.296111	27116	2.43	PA
Marabá	-5.35	-49.116667	145865	2.8	PA
Belém	-1.45	-48.483333	1407737	3.94	PA
Viseu	-1.2	-46.116667	18958	1.97	PA
Itaituba	-4.216667	-56.016667	64758	2.75	PA
Irituia	-1.766667	-47.433333	5602	1.09	PA
Santa Isabel do Pará	-1.266667	-48.183333	39284	1.4	PA
São Félix do Xingu	-6.633333	-51.983333	16478	2.59	PA
Jacareacanga	-6.266667	-57.65	1402	2	PA
Senador José Porfírio	-2.583333	-51.916667	5708	1.72	PA
Tucumã	-0.183333	-50.05	15031	2.1	PA
Ananindeua	-1.366667	-48.383333	433956	1.94	PA
Ourém	-1.55	-47.1	8145	1.28	PA
Juruti	-2.166667	-56.066667	13333	1.7	PA
Baião	-2.683333	-49.683333	12316	1.39	PA
Tomé-Açu	-2.416667	-48.15	34054	2.21	PA
Tucuruí	-3.7	-49.7	76339	2.69	PA
Oriximiná	-1.765278	-55.863889	35582	2.36	PA
Bragança	-1.05	-46.766667	57164	2.45	PA
Pôrto de Moz	-1.75	-52.233333	9912	1.61	PA
Igarapé-Açu	-1.116667	-47.616667	24136	1.75	PA
Bujaru	-1.516667	-48.016667	6189	1.3	PA
Acará	-1.95	-48.183333	12803	1.73	PA
Terra Santa	-2.1	-56.483333	13512	1.82	PA
Monte Alegre	-2.016667	-54.066667	22841	2.03	PA
São Caetano de Odivelas	-0.75	-48.033333	8862	1.07	PA
Moju	-1.883333	-48.766667	21511	1.53	PA
Portel	-1.95	-50.816667	21315	1.81	PA
Soure	-0.733333	-48.516667	18212	1.73	PA
São Geraldo do Araguaia	-6.4	-48.533333	12925	2.01	PA
Santa Maria do Pará	-1.35	-47.566667	12915	1.45	PA
Prainha	-1.8	-53.483333	6481	1.71	PA
Muaná	-1.533333	-49.216667	7464	1.51	PA
Mocajuba	-2.583333	-49.5	16567	1.64	PA
Altamira	-3.2	-52.2	70890	2.83	PA
Capitão Poço	-1.75	-47.083333	32704	2.01	PA
Castanhal	-1.3	-47.916667	137410	2.25	PA
Santo Antônio do Tauá	-1.183333	-48.133333	8921	1.01	PA
Benevides	-1.366667	-48.25	49813	1.49	PA
Breves	-1.666667	-50.483333	46474	2.53	PA
Almeirim	-1.533333	-52.566667	20464	2.36	PA
Cametá	-2.25	-49.5	45202	2.24	PA
Abaetetuba	-1.7	-48.9	78052	2.14	PA
Gurinhém	-7.133333	-35.45	5618	1.03	PB
Manaíra	-7.7	-38.166667	4913	1.11	PB
Cacimba de Dentro	-6.65	-35.783333	7447	1.08	PB
Sapé	-7.1	-35.216667	36149	1.69	PB
Destêrro	-7.283333	-37.1	5374	1.12	PB
Juru	-7.533333	-37.816667	3796	0.96	PB
Bayeux	-7.133333	-34.933333	91058	1.05	PB
Itabaiana	-7.333333	-35.333333	19101	1.42	PB
São Bento	-6.283333	-37.75	24749	1.86	PB
Teixeira	-7.216667	-37.25	9954	1.33	PB
João Pessoa	-7.116667	-34.866667	650896	2.88	PB
Cabedelo	-6.966667	-34.833333	54841	1.57	PB
Santa Rita	-7.133333	-34.966667	119895	1.56	PB
Rio Tinto	-6.8	-35.083333	11804	0.79	PB
São José de Piranhas	-7.116667	-38.5	7628	1.32	PB
Queimadas	-7.35	-35.916667	20446	1.32	PB
Alagoa Nova	-7.066667	-35.766667	9182	1.02	PB
Remígio	-6.933333	-35.783333	9659	1	PB
Soledade	-7.05	-36.35	8090	1.64	PB
Aroeiras	-7.516667	-35.683333	7019	1.32	PB
Solânea	-6.75	-35.65	17031	1.42	PB
Cajàzeiras	-6.9	-38.566667	43914	1.89	PB
Fagundes	-7.35	-35.8	5137	0.98	PB
Mogeiro	-7.3	-35.466667	4767	1.01	PB
Campina Grande	-7.216667	-35.883333	348943	2.78	PB
Mamanguape	-6.833333	-35.116667	27607	1.69	PB
Tavares	-7.633333	-37.9	4939	1.04	PB
Pocinhos	-7.066667	-36.05	7803	1.29	PB
Pirpirituba	-6.766667	-35.5	8355	0.75	PB
Arara	-6.833333	-35.75	7641	1.01	PB
Cruz do Espírito Santo	-7.133333	-35.1	5812	1.01	PB
Imaculada	-7.366667	-37.5	4014	1.18	PB
Catolé do Rocha	-6.35	-37.75	19812	1.02	PB
Belém	-6.716667	-35.5	15550	1.25	PB
Guarabira	-6.85	-35.483333	43750	2.06	PB
Caaporã	-7.516667	-34.9	13770	1.07	PB
Natuba	-7.633333	-35.566667	3333	0.85	PB
Sousa	-6.75	-38.233333	47927	2.34	PB
Taperoá	-7.2	-36.816667	8879	1.52	PB
Esperança	-7.016667	-35.85	18817	1.46	PB
Itaporanga	-7.3	-38.166667	15890	1.85	PB
Dona Inês	-6.616667	-35.633333	3709	0.95	PB
Patos	-7.016667	-37.266667	92577	2.63	PB
Salgado de São Félix	-7.35	-35.433333	4266	0.7	PB
Mulungu	-7.033333	-35.466667	4181	0.88	PB
Juàzeirinho	-6.816667	-38.05	8846	1.29	PB
Monteiro	-7.883333	-37.116667	17727	1.54	PB
Nova Floresta	-6.45	-36.2	8623	0.82	PB
Pedras de Fogo	-7.383333	-35.116667	13894	1.39	PB
Paulista	-6.583333	-37.616667	3677	1.21	PB
Pilar	-7.25	-35.266667	7588	1.02	PB
Mari	-7.083333	-35.333333	17535	1.22	PB
Sumé	-7.65	-36.916667	10441	1.51	PB
Pombal	-6.766667	-37.783333	21751	1.83	PB
Umbuzeiro	-7.683333	-35.666667	4588	0.83	PB
Jacaraú	-6.666667	-35.3	7035	1.22	PB
Juripiranga	-7.366667	-35.233333	8320	1.03	PB
Boqueirão	-7.483333	-36.116667	11566	1.43	PB
Araruna	-6.533333	-35.733333	7667	1.33	PB
Bananeiras	-6.75	-35.616667	7371	0.59	PB
Cuité	-6.483333	-36.15	11392	1.52	PB
Princesa Isabel	-7.733333	-38	12616	1.61	PB
Serra Branca	-6.533333	-38.266667	8765	1.33	PB
Lagoa Sêca	-7.15	-35.85	8103	0.89	PB
Itatuba	-7.383333	-35.65	4951	0.95	PB
Picuí	-6.516667	-36.35	10779	1.35	PB
Areia	-6.966667	-35.7	13825	1.14	PB
Triunfo	-6.566667	-38.6	3871	1.11	PB
Ingá	-7.283333	-35.6	8751	1.36	PB
Alhandra	-7.433333	-34.9	10788	0.99	PB
Uiraúna	-6.516667	-38.416667	7823	1.16	PB
Puxinanã	-7.15	-35.966667	3210	0.85	PB
Alagoa Grande	-7.05	-35.633333	16406	1.47	PB
Massaranduba	-7.183333	-35.766667	3153	0.79	PB
Santa Luzia	-6.883333	-36.933333	13243	1.61	PB
