acude,-9.4166667,-36.6333333
acude,-13.8333333,-41.4
acude,-3.1666667,-40.4333333
acude,-4.1166667,-44.9333333
acude,-20.7833333,-46.45
acude,-6.8333333,-38.0166667
acude,-4.6,-41.4666667
acude,-8.0333333,-37.6666667
acude angelim,-8.8833333,-36.2833333
acude de baixo,-8.0166667,-38.6
acude de leite,-6.65,-37.75
acude de macaubas,-13.0,-42.5333333
acude do mado,-7.4166667,-38.7666667
acude do meio,-7.8833333,-37.3666667
acude dos alves,-7.5166667,-38.4166667
acude dos carlos,-7.75,-37.8833333
acude do severino,-7.3666667,-37.8333333
acude novo,-6.0833333,-38.4833333
acude novo,-5.9180556,-37.0861111
acudes,-6.25,-37.8
acude tapuio,-6.1333333,-38.0833333
acude velho,-3.75,-40.2166667
acude velho,-7.1166667,-36.3666667
acude velho,-3.7180556,-42.2438889
acude velho,-5.8716667,-36.0780556
acudina,-13.2,-44.1666667
acudinho,-3.3833333,-39.9333333
acudinho,-7.7166667,-38.5833333
acudinho,-6.6166667,-40.65
acudinho,-8.1,-36.4166667
acungui,-24.9833333,-49.5
acupe,-12.65,-38.75
acuria,-9.0666667,-72.65
acurizal,-15.2,-56.3666667
acurizal,-13.5166667,-61.7333333
acurui,-20.2,-43.7333333
acuru tendi,-23.7166667,-54.7833333
acutinga,-12.6166667,-38.8166667
acutuba,-4.0738889,-62.4458333
adalberto,-22.3166667,-41.9
adamantina,-21.6833333,-51.0666667
adao candido lima,-20.85,-46.2666667
adelia,-6.8763889,-71.1233333
adelino,-21.0666667,-45.8166667
adelino franca,-16.45,-41.8833333
adeque,-6.0333333,-36.95
adiquinhao,-5.9480556,-37.3722222
adolfo,-26.7333333,-51.0333333
adolfo,-21.2333333,-49.65
adolfo,-11.63,-49.2225
adolfo conder,-26.7333333,-51.0333333
adolfo correia,-20.4,-45.0833333
adolfo konder,-26.7333333,-51.0333333
adolpho conder,-26.7333333,-51.0333333
adolpho condor,-27.2,-49.8
adonis,-20.2666667,-41.9333333
adrianopolis,-24.6666667,-49.0
adrianopolis,-22.6577778,-43.4872222
adustina,-10.5333333,-38.1166667
aelegrete,-21.3833333,-54.75
afeto,-8.2333333,-40.7833333
affligidos,-12.4833333,-38.85
affonso,-14.5,-57.0
affonso arinos,-15.9166667,-46.0666667
affonso camargo,-23.5,-49.9666667
affonso claudio,-20.0833333,-41.1333333
affonso penha,-19.6833333,-41.0166667
affonso penna,-12.8,-39.2
affonso penna,-6.1,-39.45
affua,-0.1666667,-50.3833333
afligidos,-12.4833333,-38.85
afogados,-7.75,-37.65
afogados da ingazeira,-7.75,-37.65
afonso,-21.95,-53.5166667
afonso,-14.5,-57.0
afonso,-16.4166667,-40.8666667
afonso,-22.4,-42.6
afonso arinos,-22.0097222,-43.3388889
afonso bezerra,-5.4980556,-36.5091667
afonso claudio,-20.0833333,-41.1333333
afonso de paula,-20.0166667,-45.2833333
afonso martins,-16.4833333,-40.9166667
afonso nonato,-16.25,-40.55
afonso pena,-12.8,-39.2
afonso-pena,-6.1,-39.45
afonso pena,-19.6833333,-41.0166667
afonsopolis,-18.1333333,-39.7833333
afonso souto,-29.9666667,-55.2
afranio,-8.5166667,-41.0
afranio peixoto,-12.2833333,-41.4166667
afua,-0.1666667,-50.3833333
agachi,-20.0666667,-56.3
agarrado,-5.3736111,-59.9730556
agenor alves,-19.3833333,-50.0666667
agiota,-8.0333333,-38.4166667
agisse,-22.5166667,-50.9166667
agostinho,-9.95,-68.55
agostinho,-18.2666667,-55.2833333
agostinho,-21.4,-47.55
agostinho,-7.8333333,-37.2666667
agostinho porto,-22.7927778,-43.3827778
agostinho rodrigues,-19.45,-56.5666667
agreate,-5.5833333,-40.6
agreste,-9.5833333,-37.2833333
agreste,-13.8666667,-43.2333333
agreste,-5.9,-39.8333333
agreste,-8.35,-36.8666667
agrestina,-8.45,-35.95
agrinco,-24.9166667,-53.0166667
agrovila,-25.4097222,-50.5719444
agua amarela,0.3833333,-52.1833333
agua amarela,-25.9166667,-50.1166667
agua amarela,-5.7666667,-48.05
agua amarella,-25.9166667,-50.1166667
agua azul,-21.9333333,-56.1833333
agua azul,-25.8,-50.2
agua azul,-6.1833333,-41.5833333
agua bela,-14.3333333,-40.7
agua bela,-16.1666667,-40.8166667
agua bela,-6.7666667,-37.9333333
agua bela,-5.8166667,-42.8333333
agua boa (1),-3.05,-40.4333333
agua boa (2),-3.4166667,-39.3166667
agua boa,-12.4166667,-44.6166667
agua boa,-4.15,-39.3166667
agua boa,-19.7666667,-40.2833333
agua boa,-17.9833333,-42.4
agua boa,-23.5,-52.1666667
agua boa,2.6666667,-60.7666667
agua bonita,-22.7333333,-47.75
agua bonita,-13.0333333,-49.8166667
agua branca,-9.2833333,-37.9166667
agua branca,-12.5666667,-38.45
agua branca,-6.4333333,-38.7833333
agua branca,-3.0825,-42.0377778
agua branca,-16.25,-55.4666667
agua branca,-14.75,-43.4166667
agua branca,-7.5166667,-37.6666667
agua branca,-24.5,-49.5166667
agua branca,-5.8833333,-42.6333333
agua branca,-6.0333333,-37.8333333
agua-branca,-23.2469444,-47.6555556
agua branca,-7.8333333,-37.5833333
agua branca de cima,-5.1666667,-41.2666667
aguacerita,-15.8166667,-58.75
agua clara,-20.45,-52.8666667
agua clara,-24.0333333,-50.2833333
agua clara,-27.1166667,-48.9166667
agua clara,-21.5333333,-50.5666667
agua comprida,-12.3166667,-37.9
agua comprida,-20.0666667,-48.1333333
aguacu,-19.45,-57.7
aguacu,-15.15,-56.0166667
aguacuzinho,-19.2,-56.4666667
aguada,-12.7166667,-42.2333333
aguada nova,-11.45,-41.8
aguada nova,-16.3,-41.1833333
agua da rega,-12.1166667,-41.7333333
agua da rosa,-22.7166667,-48.6166667
agua de rega,-12.1166667,-41.7333333
agua de rego,-12.1166667,-41.7333333
aguado,-12.7166667,-42.2333333
agua do boi,-25.5666667,-52.4
agua doce,2.6,-50.8333333
agua doce,-14.8,-39.8333333
agua doce,-5.3166667,-39.2666667
agua doce,-18.55,-40.9833333
agua doce,-7.6666667,-36.6833333
agua doce,-27.0,-51.55
agua doce,-15.1833333,-56.8166667
agua doce do mantena,-18.55,-40.9833333
agua emendada,-15.9,-54.3
agua ferro,-22.955,-43.9088889
agua fetida,-12.5333333,-43.5666667
agua fina,-14.2666667,-55.9666667
agua fria,-11.85,-38.7666667
agua fria,-6.3666667,-39.05
agua fria,-18.4333333,-40.4
agua fria,-21.3833333,-55.3
agua fria,-3.1697222,-43.4797222
agua fria,-15.1833333,-55.75
agua fria,-18.5666667,-47.7666667
agua fria,-6.8833333,-37.5
agua fria,-23.35,-46.8833333
agua fria,-7.9166667,-40.5
agua grande,-12.3166667,-38.4333333
aguai,-22.0666667,-46.9666667
agua limpa,-17.3833333,-40.1666667
agua limpa,-18.8333333,-40.6666667
agua limpa,-19.35,-54.7
agua limpa,-3.4088889,-43.4394444
agua limpa,-14.3833333,-57.75
agua limpa,-19.15,-48.3333333
agua limpa,-6.2166667,-41.3666667
agua limpa,-22.1666667,-48.85
agua-limpa,-17.1,-50.1166667
agua limpa,-18.1,-48.7666667
aguamare,-5.1063889,-36.3202778
aguanil,-20.95,-45.3833333
agua nova,-5.3311111,-36.535
aguapaba,-7.6,-35.5833333
aguape,-2.9444444,-40.9530556
aguape,-21.9,-45.2666667
aguape,-8.6166667,-38.3833333
aguapei,-16.2,-59.7166667
aguapei do alto,-21.6,-51.2
agua preta,-8.8333333,-66.1666667
agua preta,-14.5833333,-39.2666667
agua preta,-8.7,-35.5166667
agua quente,-13.1833333,-44.3
agua quente,-15.8333333,-55.4333333
agua quente,-17.0166667,-41.0333333
agua quente,-14.55,-48.9333333
agua rasa,-20.4333333,-45.1666667
agua rica,-3.6938889,-43.0180556
agua rosa,-20.4333333,-45.1666667
agua santa,-20.8666667,-42.1666667
agua santa,-22.9075,-43.3086111
agua santa,-28.1666667,-52.0333333
aguas belas,-12.5,-41.2
aguas belas,-4.05,-38.1833333
aguas belas,-16.1,-41.05
aguas belas,-6.9333333,-38.3833333
aguas belas,-7.0333333,-42.2833333
aguas belas,-9.1166667,-37.1166667
aguas bellas,-4.9,-40.7666667
aguas bellas,-17.0833333,-40.95
aguas bellas,-9.1166667,-37.1166667
aguas boas,-1.9666667,-45.8166667
aguas brancas,-12.5666667,-38.45
aguas brancas,-28.5833333,-50.4
aguas brancas,-27.95,-49.5833333
aguas claras,-18.85,-40.8333333
aguas claras,-27.1166667,-48.9166667
aguas claras do sul,-21.4166667,-51.1833333
aguas da prata,-21.9333333,-46.7166667
aguas de chapeco,-27.0833333,-52.9833333
aguas de contendas,-21.9,-45.0166667
aguas de lindoia,-22.4833333,-46.65
aguas de sao pedro,-22.6,-47.8833333
aguas do pardo,-27.1333333,-53.4
aguas do paulista,-12.5,-43.1
aguas do vere,-25.7666667,-52.95
aguas formosas,-17.0833333,-40.95
aguas lindas,-22.7113889,-43.7227778
aguas m. de ibira,-21.1166667,-49.2
aguas pretas,-7.0666667,-36.1166667
aguas santas,-21.1,-44.2166667
agua suja,-14.0333333,-44.45
agua suja,-21.95,-54.4666667
agua suja,-18.8833333,-47.6333333
agua sumida,-22.3,-52.2166667
aguas vermelhas,-13.8666667,-39.85
aguas vermelhas,-15.75,-41.4666667
agua verde,-4.1666667,-38.7
agua verde,-7.3666667,-41.7166667
agua vermelha,-13.8666667,-39.85
agua vermelha,-7.4,-38.9333333
agua vermelha,-6.4833333,-43.1333333
agua vermelha,-15.75,-41.4666667
agua vermelha,-21.9,-47.8833333
agua viva,-21.6833333,-42.55
aguazinha,-7.9,-36.7
agudo,-29.6333333,-53.25
agudos,-25.9891667,-49.3341667
agudos,-22.4666667,-49.0
agudos do sul,-25.9891667,-49.3341667
aguia,-6.5,-69.4333333
aguia branca,-18.9833333,-40.7333333
aguiar,-7.0833333,-38.1833333
aguiar,-2.7,-54.2
aguiar velho,-7.1,-38.1
aguilhadas,-6.5333333,-40.3666667
aguinhas,-27.0,-52.95
agulha,-21.35,-48.7
agulhas negras,-22.4666667,-44.45
aguti,-27.3,-49.15
aiapua,-4.4633333,-62.0552778
aideia do prata,-16.8166667,-40.6166667
aimin,-4.8038889,-62.4516667
aimores,-17.8333333,-40.1666667
aimores,-19.5,-41.0666667
aiparuca,-2.9811111,-60.6080556
aiquara,-14.1166667,-39.8666667
airao,-1.95,-61.3666667
airi,-6.9,-58.2833333
airi,-8.5333333,-38.1833333
airituba,-20.95,-41.6666667
airoes,-20.8,-42.9666667
airy,-6.9,-58.2833333
aito calcado,-20.95,-41.6166667
aiua,-3.45,-40.4666667
aiuaba,-6.6333333,-40.1166667
aiure,-28.1,-49.3
aiuruoca,-21.9666667,-44.6
ajacio,-16.1,-40.35
ajapi,-22.2833333,-47.55
ajara,-4.4283333,-62.2688889
ajaru,-2.2113889,-61.1144444
ajerico,-0.8333333,-51.8166667
ajuda,-16.5,-39.0833333
ajudante,-23.1666667,-47.3166667
ajura,-3.9044444,-62.7322222
ajuricaba,-7.5833333,-66.6166667
ajuricaba,-28.25,-53.7666667
ajurical,-7.5833333,-66.6166667
ajuritiba,-23.1333333,-46.4666667
ajusta conta,-15.75,-57.6333333
ajusta-contas,-15.75,-57.6333333
akotipa,1.9166667,-55.55
alagacico,-9.5333333,-38.3666667
alagadico,-10.6666667,-41.2833333
alagadico,-5.25,-40.9666667
alagadico,-15.1,-43.6666667
alagadico,-3.75,-42.5333333
alagadico,3.3833333,-60.6166667
alagadico grande,-5.8166667,-35.4166667
alagamar,-4.2,-38.4
alagoa,-22.1666667,-44.6333333
alagoa da serra negra,-10.0333333,-37.9
alagoa de baixo,-8.0833333,-37.2666667
alagoa de roca,-7.0833333,-35.8666667
alagoado,-6.0333333,-42.2833333
alagoa do monteiro,-7.8833333,-37.1166667
alagoa grande,-7.05,-35.6333333
alagoa grande,-8.4166667,-44.1666667
alagoa nova,-7.0666667,-35.7666667
alagoas,-9.7166667,-35.9
alagoas,-12.4333333,-40.3
alagoas,-3.7713889,-43.4080556
alagoas,-18.6333333,-46.6666667
alagoas,-13.8,-47.8166667
alagoinha,-10.1666667,-36.3833333
alagoinha,-11.6833333,-41.3333333
alagoinha,-6.7833333,-38.7166667
alagoinha,-3.0777778,-42.0261111
alagoinha,-6.9333333,-35.55
alagoinha,-6.9333333,-41.7166667
alagoinha,-5.0666667,-37.4
alagoinha,-8.4833333,-36.7833333
alagoinhas,-10.1666667,-36.3833333
alagoinhas,-12.1166667,-38.4333333
alagoinhas,-4.0333333,-41.85
alagoinhas de santana,-13.9833333,-41.5333333
alamao,-12.7833333,-38.85
alamari,-23.55,-47.8833333
alambari,-20.5833333,-47.2333333
alambary,-23.55,-47.8833333
alambique,-20.0833333,-41.1333333
alamoique,1.9830556,-55.1666667
alasca,-13.2972222,-60.3708333
alaska,-13.2972222,-60.3708333
alavanca,-21.55,-54.3
alazao,-12.7,-44.6666667
alazao,-7.7666667,-37.4833333
alazao dos cardosos,-3.9927778,-42.9061111
