nome_geografico	latitude	longitude	sigla_categoria	nm_classe	sigla_unid_federacao
Canal	-22.872	-42.0115	AER	pista_ponto_pouso	RJ
Amarras	-22.7753	-41.9022	AER	pista_ponto_pouso	RJ
Aeródromo Aguas Frias	-27.2161	-53.2754	AER	pista_ponto_pouso	RS
Aeródromo Severino Lopes	-6.01841	-35.2436	AER	pista_ponto_pouso	RN
Aeródromo Fazenda Canel	-7.53421	-44.8212	AER	pista_ponto_pouso	PI
Aeródromo Fazenda Santa Lídia	-20.7223	-53.6877	AER	pista_ponto_pouso	MS
Aeródromo Fazenda União	-19.2929	-52.0596	AER	pista_ponto_pouso	MS
Fazenda Jamaica	-22.1886	-50.2741	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Anhumas	-22.122	-52.1982	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Santa Maria	-22.2898	-52.2551	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Vassoural	-21.0736	-48.0322	AER	pista_ponto_pouso	SP
HSBC	-25.5031	-49.2806	AER	pista_ponto_pouso	PR
Aeródromo Maracaju	-21.6337	-55.1446	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Jacaré	-21.5028	-53.967	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Nossa Senhora de Fátima	-21.5398	-52.1112	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Guanabara	-21.1208	-54.4464	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Progresso	-21.5157	-57.6908	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Água Turva	-22.1238	-57.1035	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Fittipaldi Citrus	-21.8547	-48.2948	AER	pista_ponto_pouso	SP
Aeródromo Elisa Camargo de Arruda Botelho	-22.3564	-51.1015	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Serrinha	-20.662	-52.3399	AER	pista_ponto_pouso	MS
Aeródromo Fazendas Reunidas Schlatter	-18.8081	-52.5992	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Posses do Rio Grande	-20.2948	-48.9853	AER	pista_ponto_pouso	SP
Aeródromo Fazenda e Haras Bela Vista	-22.4368	-48.4032	AER	pista_ponto_pouso	SP
Aeródromo Agropastoril Monte Alegre	-21.3572	-46.2518	AER	pista_ponto_pouso	MG
Aeródromo Fazenda Bebida Velha	-5.29778	-35.5354	AER	pista_ponto_pouso	RN
Aero Agricola Fulanete	-11.8476	-46.2745	AER	pista_ponto_pouso	BA
Hospital Estadual de Pronto Socorro	-7.1157	-34.8426	AER	pista_ponto_pouso	PB
Aeródromo Fazenda Progresso	-7.50256	-44.2024	AER	pista_ponto_pouso	PI
da Praia	-22.774	-41.8898	AER	pista_ponto_pouso	RJ
Aeródromo Fazenda Bacuri	-8.37789	-46.4408	AER	pista_ponto_pouso	MA
Aeródromo Capinópolis - Aviação Agrícola Buttarello LTDA	-18.6594	-49.5476	AER	pista_ponto_pouso	MG
Fazenda Goiabeira	-23.9899	-49.1797	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Nossa Senhora da Conceição	-22.7589	-48.5416	AER	pista_ponto_pouso	SP
Aeroporto Santa Rita de Cássia	-10.9891	-44.515	AER	pista_ponto_pouso	BA
Aeródromo Armando Natali	-21.6235	-48.3515	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Caçadinha	-21.6143	-54.7955	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Mateira	-20.9621	-53.0703	AER	pista_ponto_pouso	MS
Aeroporto Municipal Coromandel	-18.4806	-47.2246	AER	pista_ponto_pouso	MG
Aeródromo Fazenda São Roque	-21.6603	-49.1643	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Jota III	-19.3306	-51.9711	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Ribeirão	-19.6102	-53.496	AER	pista_ponto_pouso	MS
Banaer de Jacupiranga	-24.7097	-48.023	AER	pista_ponto_pouso	SP
Aeródromo Fazenda Anhumas II	-22.043	-52.2869	AER	pista_ponto_pouso	SP
Aeroporto Jardim	-21.493	-56.1523	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Celeiro	-21.5455	-54.6619	AER	pista_ponto_pouso	MS
Aeródromo Socó	4.47	-60.1769	AER	pista_ponto_pouso	RR
Aeródromo Fazenda Palmital	-20.6979	-48.2862	AER	pista_ponto_pouso	SP
Aeródromo Catanduva	-21.1497	-48.9893	AER	pista_ponto_pouso	SP
Aeródromo Fazenda São Francisco	-20.5681	-50.2253	AER	pista_ponto_pouso	SP
Associação Recreativa Fazenda Bonanza	-23.6876	-47.5576	AER	pista_ponto_pouso	SP
Aeródromo Fazenda 3M	-21.6741	-54.0362	AER	pista_ponto_pouso	MS
Aeródromo Fazenda N. S. Auxiliadora	-22.3028	-54.0432	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Morrinhos	-22.0774	-56.2975	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Pontal do Lagoa	-20.8683	-53.1534	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santa Otília	-21.1864	-57.0432	AER	pista_ponto_pouso	MS
Aeródromo Bocaiúva	-17.1316	-43.8141	AER	pista_ponto_pouso	MG
Aeródromo Fazenda Santa Ana	-21.2183	-57.6827	AER	pista_ponto_pouso	MS
Fazenda Nova	-8.15998	-36.1969	AER	pista_ponto_pouso	PE
Aeródromo Tambori	-5.16104	-42.7201	AER	pista_ponto_pouso	PI
Aeródromo Tabuleiro	-6.69574	-35.6311	AER	pista_ponto_pouso	PB
Manduca Leão	-6.9617	-35.7521	AER	pista_ponto_pouso	PB
Aeródromo Fazenda Mimoso S/A	-11.8704	-45.7254	AER	pista_ponto_pouso	BA
Aeroporto de Maraú	-14.1434	-39.0061	AER	pista_ponto_pouso	BA
Aeródromo Nossa Senhora de Fátima	-5.03232	-42.7055	AER	pista_ponto_pouso	PI
Aeródromo Colonial	-15.4505	-43.4036	AER	pista_ponto_pouso	MG
Luis Eduardo Magalhães	-14.2713	-49.6479	AER	pista_ponto_pouso	GO
Barreiras	-14.1137	-50.1186	AER	pista_ponto_pouso	GO
Fazenda Querubim	-13.5464	-48.9134	AER	pista_ponto_pouso	GO
Fazenda Acalanto	-13.3744	-46.8993	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Palmeiras	-17.9708	-57.0185	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Favo de Mel	-15.66	-59.3059	AER	pista_ponto_pouso	MT
Aeródromo Santa Terezinha	-19.3779	-56.0557	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Visa Estância	-19.0614	-57.631	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Triunfo	-17.8721	-57.1296	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Bela Vista	-18.2066	-56.809	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Cajueiro	-4.24148	-48.4822	AER	pista_ponto_pouso	PA
Aeródromo Fazenda Colorado	-10.7415	-49.4795	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Santa Cruz	-11.6509	-52.737	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Vitória	-14.9651	-54.0588	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Morro Vermelho	-15.981	-54.5335	AER	pista_ponto_pouso	MT
Aeródromo JPO	-12.6069	-55.7642	AER	pista_ponto_pouso	MT
Aeródromo Gaivota Aviação Agrícola	-13.4537	-58.7787	AER	pista_ponto_pouso	MT
Aeroporto São Bento	-2.70481	-44.8449	AER	pista_ponto_pouso	MA
Aeródromo Tuiuiu	-20.0866	-56.6159	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santo Inácio	-19.2003	-57.0138	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São Geraldo	-19.4034	-55.8632	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Vale do Rio Celeste	-19.0296	-57.4592	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São Paulino	-19.0256	-55.925	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Cristal	-17.8632	-55.7066	AER	pista_ponto_pouso	MS
Aeródromo Piratininga	-17.9401	-56.4798	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Sonora Estância	-17.6416	-54.7561	AER	pista_ponto_pouso	MS
Aeródromo Xingu	-8.58737	-48.9475	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Chaparral	-17.206	-57.1304	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Piraim	-16.2512	-56.0945	AER	pista_ponto_pouso	MT
Aeródromo Chácara São José	-15.5427	-55.9844	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Colorado	-20.6256	-56.7695	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Boi Branco	-18.4605	-56.765	AER	pista_ponto_pouso	MS
Aeródromo Porto Índio	-18.0188	-56.8243	AER	pista_ponto_pouso	MS
Aeródromo Meruri	-17.3537	-55.6816	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Marazul III	-16.5916	-55.9875	AER	pista_ponto_pouso	MT
Aeródromo Fazenda São João do Guaporé	-15.9716	-59.8908	AER	pista_ponto_pouso	MT
Aeródromo Agropecuária São Roberto	-9.23341	-50.9294	AER	pista_ponto_pouso	PA
Aeródromo Fazenda Santa Maria	-17.3019	-57.9781	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Bahia - Don Bosco	-16.7239	-57.2344	AER	pista_ponto_pouso	MT
Aeródromo Fazenda São Roberto	-17.0679	-50.8464	AER	pista_ponto_pouso	GO
Aeródromo FRISAMA-Açailândia	-4.94079	-47.4618	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Japecanga	-20.8054	-54.0782	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Recreio	-17.5643	-56.7862	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santana	-17.323	-56.5436	AER	pista_ponto_pouso	MS
Aeródromo Ahe Peixe Angical	-12.5465	-49.925	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Palmeiras	-9.60633	-49.7722	AER	pista_ponto_pouso	TO
Aeródromo Arenápolis	-14.5001	-57.0172	AER	pista_ponto_pouso	MT
Fazenda Itacaiu	-17.3283	-50.4237	AER	pista_ponto_pouso	GO
Fazenda Sorriso Metálico	-17.4559	-48.2176	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Água Fria	-14.7545	-50.3762	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Amazonas	-13.8003	-50.4892	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Ykaraí	-14.5445	-50.5925	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Chaparral	-20.844	-54.5257	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Livramento	-19.2687	-56.031	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Poleiro Grande	-18.0664	-56.5564	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Eunice	-14.9555	-59.6252	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Pontal	-17.3057	-53.9358	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Tupanciretã	-19.4736	-56.378	AER	pista_ponto_pouso	MS
Aeródromo São João	-17.7071	-56.2168	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São Miguel	-18.0982	-57.1532	AER	pista_ponto_pouso	MS
Aeródromo Primavera do Leste	-17.0922	-55.7371	AER	pista_ponto_pouso	MT
Aeródromo Doutor João Osmar de Oliveira	-14.1337	-59.8193	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Santa Mônica	-16.9321	-54.9066	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Água Limpa	-13.6716	-57.9018	AER	pista_ponto_pouso	MT
Aeródromo do Canarinho	-11.9031	-55.4552	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Okuhara	-15.1139	-56.8363	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Corixo	-16.2461	-58.8954	AER	pista_ponto_pouso	MT
Aeródromo Érico	3.76347	-62.4093	AER	pista_ponto_pouso	RR
Aeródromo Arai	4.44389	-60.8472	AER	pista_ponto_pouso	RR
Aeródromo Cararuau	4.06306	-60.165	AER	pista_ponto_pouso	RR
Aeródromo Suapí	4.57528	-60.8583	AER	pista_ponto_pouso	RR
Aeródromo Aratha-ú	3.16083	-63.7814	AER	pista_ponto_pouso	RR
Aeródromo Pipi	4.93	-60.3219	AER	pista_ponto_pouso	RR
Aeródromo Pouso da Águia	2.7875	-60.5958	AER	pista_ponto_pouso	RR
Aeródromo Contão	4.17167	-60.5436	AER	pista_ponto_pouso	RR
Aeródromo Palimiú	3.33118	-62.9713	AER	pista_ponto_pouso	RR
Aeródromo Fazenda Beira Rio	-10.3711	-55.8186	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Shangri-lá	-10.2813	-56.4667	AER	pista_ponto_pouso	MT
Aeródromo Aba	-14.5947	-50.1477	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Araçatuba	-14.5305	-50.4115	AER	pista_ponto_pouso	GO
Aeroporto Monte Alegre de Goiás	-13.2496	-46.8714	AER	pista_ponto_pouso	GO
Aeródromo Parafuri	3.28506	-63.851	AER	pista_ponto_pouso	RR
Aeródromo Fazenda Goiás Barreiro	-17.256	-51.3053	AER	pista_ponto_pouso	GO
Fazenda Caraíbas	-16.7141	-52.3182	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Bom Jesus	-12.9499	-46.5657	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Carvalho	-14.8369	-49.3616	AER	pista_ponto_pouso	GO
Warpol	-13.7598	-49.477	AER	pista_ponto_pouso	GO
Fazenda Pica-Pau	-17.4584	-48.9827	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Santa Rosa	-13.9943	-49.7563	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Campo Formoso	-12.5585	-49.8651	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Lago Grande	-12.1019	-49.9526	AER	pista_ponto_pouso	TO
Fazenda São Miguel	-13.4744	-48.4593	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Davilândia	-13.1854	-48.7523	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Barriguda	-13.7082	-46.7414	AER	pista_ponto_pouso	GO
Aeródromo João de Oliveira Bueno	-13.1922	-47.1197	AER	pista_ponto_pouso	GO
Aeródromo Antônio Guerreiro	-2.10872	-44.6525	AER	pista_ponto_pouso	MA
Fazenda Santa Sílvia	-17.6339	-50.4714	AER	pista_ponto_pouso	GO
Aeródromo Fazenda Santa Helena	-18.2981	-57.0148	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Brasil Novo	-18.3719	-54.9281	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Piraquara	-17.803	-56.5318	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Birigui	-17.6613	-55.5285	AER	pista_ponto_pouso	MS
Aeródromo Parque Fazenda Bom Futuro	-17.1914	-57.0339	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Rio Preta	-15.0618	-57.9682	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Sevilha	-12.6408	-51.9304	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Chalana	-14.1662	-57.1578	AER	pista_ponto_pouso	MT
Aeródromo Salto Grande	-15.26	-58.7927	AER	pista_ponto_pouso	MT
São Luíz	-13.6524	-46.5419	AER	pista_ponto_pouso	GO
Fazenda Guará do Pinhal	-23.6658	-48.072	AER	pista_ponto_pouso	SP
Gastão Madeira	-23.4408	-45.075	AER	pista_ponto_pouso	SP
Aeródromo de Viçosa	-20.7434	-42.8424	AER	pista_ponto_pouso	MG
Aeródromo Carolina de Assis Repetto	-21.7313	-43.8935	AER	pista_ponto_pouso	MG
Aeródromo Fazenda Boca de Onça	-20.7668	-56.7068	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Jatobá	-20.099	-55.9268	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São José	-13.7407	-58.8851	AER	pista_ponto_pouso	MT
Aeródromo Vila Rica	-17.6791	-55.908	AER	pista_ponto_pouso	MS
Aeródromo Três Marias da Pitangueira	-17.2353	-55.2284	AER	pista_ponto_pouso	MT
Aeródromo Agropastoril Bom Pastor	-16.4654	-54.7117	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Porto do Campo	-15.7151	-57.7109	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Fogliatelli	-13.5297	-58.5734	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Tarumã	-17.0131	-54.3497	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Campinas	-18.9083	-56.3566	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Michelim	-18.9686	-56.8579	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santa Lucinha	-18.0238	-56.7287	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Ilha Camargo	-18.0528	-56.4839	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Manchete	-17.638	-56.5777	AER	pista_ponto_pouso	MS
Aeroporto Brejinho de Nazaré	-11.0252	-48.5754	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Aliança	-15.2921	-58.314	AER	pista_ponto_pouso	MT
Aeródromo Fortuna	-16.1686	-59.5006	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Itarema	-13.2552	-52.0436	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Mãe Margarida	-14.0521	-55.3853	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Galera	-14.5162	-59.557	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Santa Lúcia	-16.8943	-55.9063	AER	pista_ponto_pouso	MT
Aeródromo Retiro Piúva	-19.8372	-56.7066	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Cruzeiro	-18.9832	-55.2914	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Mundo Acabado	-18.7934	-55.8591	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Belém	-18.6741	-55.8943	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São José do Generoso	-18.8822	-56.7997	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Mandiore	-17.9273	-57.6237	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Retiro Santo Antônio da Fazenda Triunfo	-17.8924	-56.997	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Vale Verde	-17.6937	-56.5734	AER	pista_ponto_pouso	MS
Aeródromo Sítio Flyer	-10.1079	-48.3274	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Barreiro	-9.90708	-48.6355	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Lagoa Encantada	-17.0207	-55.6232	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Santa Escolástica	-16.8462	-54.4583	AER	pista_ponto_pouso	MT
Aeródromo Empresa de Mineração Aripuanã Ltda	-14.623	-54.0048	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Guaíra	-12.4482	-51.7762	AER	pista_ponto_pouso	MT
Aeródromo Coroatá	-4.14041	-44.1146	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Cachoeirinha	-20.3818	-56.2685	AER	pista_ponto_pouso	MS
Aeródromo Ocorema	-19.1023	-57.599	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Viveirinho	-17.7764	-56.0919	AER	pista_ponto_pouso	MS
Aeródromo Coperjava	-11.8342	-49.7121	AER	pista_ponto_pouso	TO
Aeródromo Fazenda Santa Maria	-17.0943	-58.251	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Santa Juliana	-12.8752	-52.0199	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Areia Branca	-11.789	-58.4578	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Vale Rico	-16.3858	-54.2019	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Nossa Senhora das Graças	-12.8983	-55.8346	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Nossa Senhora Aparecida	-16.0441	-54.9517	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Terra do Sol	-15.376	-57.1293	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Mapisa	-4.41315	-46.518	AER	pista_ponto_pouso	MA
Aeródromo Dois de Maio	-18.2088	-55.7532	AER	pista_ponto_pouso	MS
Aeródromo Marfrig Frigorífico	-14.4619	-54.0348	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Nossa Senhora do Pillar	-15.349	-58.7939	AER	pista_ponto_pouso	MT
Aeroporto Agroer Aviação	-16.4435	-54.7018	AER	pista_ponto_pouso	MT
Aeródromo Agropecuária Equus	-13.5382	-53.4391	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Morro Branco	-16.1193	-58.7667	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Jangada	-15.2408	-56.5781	AER	pista_ponto_pouso	MT
Aeródromo Clube Aerodesportivo Selva	-11.8761	-55.444	AER	pista_ponto_pouso	MT
Aeródromo Cururu	-7.56483	-57.7427	AER	pista_ponto_pouso	PA
Aeródromo Fazenda Santa Terezinha	-18.4681	-57.0589	AER	pista_ponto_pouso	MS
Aeródromo Estância Recanto	-9.94231	-56.1008	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Taquaruçu Retiro	-10.3386	-55.9656	AER	pista_ponto_pouso	MT
Aeródromo Estância Califórnia	-9.89194	-56.1294	AER	pista_ponto_pouso	MT
Aeródromo Cajú	4.70583	-60.5153	AER	pista_ponto_pouso	RR
Aeródromo Mudubim 1	4.42167	-60.4897	AER	pista_ponto_pouso	RR
Aeródromo Cutia	4.16757	-59.7489	AER	pista_ponto_pouso	RR
Aeródromo Água Fria	4.62056	-60.2772	AER	pista_ponto_pouso	RR
Aeródromo Gorotire	-7.78378	-51.1339	AER	pista_ponto_pouso	PA
Aeródromo Rurópolis	-4.08838	-54.9082	AER	pista_ponto_pouso	PA
Aeródromo Fazenda Santana	-19.7088	-55.4215	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Água Limpa	-19.2611	-55.7823	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Planalto	-20.3389	-54.417	AER	pista_ponto_pouso	MS
Aeródromo São Camilo	-18.088	-57.1313	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santa Terezinha	-16.6746	-54.266	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Bacaeri	-10.0511	-56.8318	AER	pista_ponto_pouso	MT
Aeródromo Ubarú	4.50167	-60.8022	AER	pista_ponto_pouso	RR
Aeródromo Fazenda Soberana	-5.45437	-46.0627	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Novo Horizonte	-19.2382	-57.03	AER	pista_ponto_pouso	MS
Aeródromo Hotel Baiazinha	-18.9339	-57.0491	AER	pista_ponto_pouso	MS
Aeródromo Porto Carcará	-17.8335	-57.1668	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santa Gertrudes	-18.4777	-56.0215	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São José	-20.572	-54.7169	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Floresta	-15.2207	-55.1323	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Várzea Funda	-16.5904	-57.727	AER	pista_ponto_pouso	MT
Aeródromo Posto de Proteção Ambiental São Luis	-16.689	-56.1768	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Itaipu	-13.7526	-56.9612	AER	pista_ponto_pouso	MT
Aeródromo CAVU - Clube de Aviação Ultraleve	-2.44818	-44.1201	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Liliani	-4.21404	-46.9752	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Tangará	-20.8978	-55.7111	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Alegrete - Retiro Carandá	-20.0643	-55.7012	AER	pista_ponto_pouso	MS
Aeródromo São Bento	-19.4787	-57.0143	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Lourdes	-18.6454	-56.7591	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Nazaré	-18.6736	-57.1235	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São Sebastião do Castelo	-18.6611	-57.6237	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São José do Piquiri	-17.4563	-55.564	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Campo Augusta	-17.513	-55.7731	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Modelo	-17.9935	-54.2251	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Roberta	-15.3186	-58.5014	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Viamão	-5.29064	-46.0005	AER	pista_ponto_pouso	MA
Aeródromo das Bandeirinhas	-20.7399	-43.7978	AER	pista_ponto_pouso	MG
Aeródromo Estância Tara	-20.0879	-56.7243	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São João	-20.3257	-55.1001	AER	pista_ponto_pouso	MS
Aeródromo Fazenda São Roque	-19.5189	-55.3138	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Água Pê	-18.1162	-56.6407	AER	pista_ponto_pouso	MS
Aeródromo Andrieli Base Operacional	-17.0974	-55.9612	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Córrego Fundo	-13.7362	-52.5877	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Centro da Mata	-12.6571	-54.8263	AER	pista_ponto_pouso	MT
Aeródromo Fazenda São João do Ibiporã	-15.7868	-59.6366	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Joana Estância	-20.0138	-57.3892	AER	pista_ponto_pouso	MS
Aeródromo Independência	-20.474	-55.8294	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Santa Maria	-20.2695	-55.7279	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Retiro da Cachoeira	-20.8073	-54.6193	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Bandeiras	-17.8615	-56.7026	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Baía do Lara	-17.5664	-55.288	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Água Rasa	-17.6319	-56.0568	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Bonanza	-19.0515	-54.0669	AER	pista_ponto_pouso	MS
Aeródromo Fazenda Amizade	-12.6286	-55.9474	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Monte Belo	-14.9801	-57.9926	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Itaquerê	-15.1384	-53.501	AER	pista_ponto_pouso	MT
Aeródromo Fazenda Rancho Grande	-15.2092	-58.626	AER	pista_ponto_pouso	MT
Aeródromo Redenção	-8.03235	-49.9801	AER	pista_ponto_pouso	PA
Aeródromo ITU	-23.3498	-47.3273	AER	pista_ponto_pouso	SP
Aeródromo Capão da Canoa	-29.7634	-50.0374	AER	pista_ponto_pouso	RS
Aeródromo Roso Par	-31.7343	-54.0893	AER	pista_ponto_pouso	RS
Aeródromo Mostardas	-31.1013	-50.9081	AER	pista_ponto_pouso	RS
Aeródromo Fazenda Eldorado	-3.69208	-45.2696	AER	pista_ponto_pouso	MA
Aeródromo Fazenda Águia Branca	-3.32778	-46.7797	AER	pista_ponto_pouso	MA
Paragominas	-1.9081	-44.6207	AER	pista_ponto_pouso	MA
Aeroporto Cururupu	-1.81947	-44.8631	AER	pista_ponto_pouso	MA
Aeródromo Montenegro	-29.7198	-51.4884	AER	pista_ponto_pouso	RS
Aeroporto Regional do Vale do Taquari	-29.4546	-51.9354	AER	pista_ponto_pouso	RS
Aeródromo Flores	-3.07278	-60.0211	AER	pista_ponto_pouso	AM
Fazenda Irohy	-23.5637	-46.0703	AER	pista_ponto_pouso	SP
Aeródromo Doze de Outubro	-5.3382	-57.7624	AER	pista_ponto_pouso	AM
